Designator,Mid X,Mid Y,Rotation,Layer
H1,57.024999,-40.674998,0.0,top
H2,57.025001,-74.674999,0.0,top
H3,114.025001,-45.774999,0.0,top
H4,80.125001,-80.624999,0.0,top
H5,134.077373,-86.893833,60.0,top
H6,153.080892,-84.586467,30.0,top
H7,135.525001,-74.45057,300.0,top
JST1,149.080891,-76.774998,270.0,top
SW1,154.380891,-67.274999,0.0,top
SW2,154.330891,-76.774998,0.0,top
