Designator,Mid X,Mid Y,Rotation,Layer
H1,9.352687,23.598024,0.0,top
H2,9.352688,6.598024,0.0,top
H3,66.352688,32.948024,0.0,top
H4,32.152687,-5.301977,0.0,top
H5,84.348227,-15.883484,60.0,top
H6,106.082557,-7.358522,60.0,top
H7,88.80535,2.616478,60.0,top
JST1,102.159761,0.948022,270.0,top
SW1,107.859761,10.048026,0.0,top
SW2,107.78,1.55,0.0,top
